Rk_x,Player,Age,Team,Pos,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
347.0,Corey Brewer,30.0,2TM,SF,82.0,11.0,15.6,1.8,4.2,0.422,0.3,1.4,0.229,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,,9.1,0.491,0.339,0.195,2.7,11.6,7.1,10.7,2.3,1.3,12.7,14.3,0.0,1.2,1.2,0.045,-3.5,0.8,-2.7,-0.2,2016-17
347.0,Corey Brewer,30.0,HOU,SF,58.0,8.0,15.9,1.6,3.9,0.414,0.4,1.6,0.234,1.2,2.3,0.541,0.463,0.6,0.8,0.727,0.4,1.6,2.0,1.1,0.6,0.2,0.6,1.8,4.2,,7.5,0.491,0.414,0.194,2.5,11.0,6.7,9.0,1.9,1.1,12.7,12.9,0.0,0.8,0.9,0.045,-4.0,0.6,-3.4,-0.3,2016-17
347.0,Corey Brewer,30.0,LAL,SF,24.0,3.0,14.9,2.2,5.0,0.438,0.2,1.0,0.208,2.0,4.0,0.495,0.459,0.8,1.0,0.75,0.5,1.7,2.2,1.5,1.0,0.3,0.8,1.2,5.4,,13.3,0.49,0.198,0.198,3.2,13.0,7.9,15.0,3.3,1.8,12.6,18.0,0.0,0.3,0.3,0.047,-2.3,1.3,-1.0,0.1,2016-17
348.0,Dāvis Bertāns,24.0,SAS,PF,67.0,6.0,12.1,1.5,3.5,0.44,1.0,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,,12.9,0.609,0.739,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,0.5,0.8,1.3,0.7,2016-17
349.0,Reggie Bullock,25.0,DET,SF,31.0,5.0,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1.0,0.101,-1.0,1.3,0.3,0.3,2016-17
350.0,C.J. Watson,32.0,ORL,PG,62.0,9.0,16.3,1.5,4.0,0.387,0.5,1.7,0.305,1.0,2.3,0.448,0.452,0.9,1.1,0.864,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,4.5,,9.3,0.507,0.423,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,0.2,0.6,0.9,0.041,-3.8,0.2,-3.6,-0.4,2016-17
351.0,Reggie Williams,30.0,NOP,SF,6.0,0.0,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2.0,0.25,0.457,1.0,1.2,0.857,0.3,0.7,1.0,0.7,0.5,0.0,0.0,0.3,4.5,,11.7,0.518,0.478,0.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6,0.1,0.1,0.2,0.098,-0.4,-0.4,-0.8,0.0,2016-17
352.0,Pierre Jackson,25.0,DAL,PG,8.0,1.0,10.5,1.6,4.9,0.333,0.4,1.4,0.273,1.3,3.5,0.357,0.372,0.8,0.9,0.857,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,,13.0,0.416,0.282,0.179,1.3,11.6,6.2,38.0,1.2,0.0,6.7,25.3,0.0,0.1,0.0,0.021,-2.7,-1.7,-4.4,-0.1,2016-17
353.0,Stanley Johnson,20.0,DET,SF,77.0,1.0,17.8,1.7,4.7,0.353,0.6,2.0,0.292,1.1,2.7,0.398,0.415,0.5,0.7,0.679,0.5,2.0,2.5,1.4,0.7,0.3,0.9,1.6,4.4,,7.2,0.436,0.422,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-4.4,1.4,-3.0,-0.3,2016-17
354.0,Jordan McRae,25.0,CLE,SG,37.0,4.0,10.4,1.6,4.1,0.387,0.5,1.4,0.353,1.1,2.7,0.404,0.447,0.7,0.9,0.794,0.2,0.9,1.1,0.5,0.2,0.2,0.4,0.8,4.4,,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1.0,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-2.6,-1.1,-3.7,-0.2,2016-17
