Rk_x,Player,Age,Team,Pos,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Rk_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
221.0,James Johnson,26.0,MEM,SF,52.0,4.0,18.4,2.8,5.9,0.464,0.4,1.7,0.253,2.3,4.3,0.548,0.5,1.5,1.7,0.844,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4,,272.0,52.0,4.0,956.0,18.5,0.552,0.282,0.292,7.4,13.2,10.3,18.2,2.3,5.0,16.0,20.0,1.4,1.6,3.0,0.15,1.6,2.9,4.5,1.6,2013-14
222.0,Mason Plumlee,23.0,BRK,C,70.0,22.0,18.2,2.8,4.3,0.659,0.0,0.0,0.0,2.8,4.3,0.666,0.659,1.7,2.8,0.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4,ROY-4,223.0,70.0,22.0,1275.0,19.0,0.67,0.01,0.646,9.3,19.6,14.5,8.1,2.0,3.6,16.6,17.1,3.0,1.7,4.7,0.176,0.2,0.8,1.0,1.0,2013-14
223.0,Andrew Bogut,29.0,GSW,C,67.0,67.0,26.4,3.5,5.6,0.627,0.0,0.0,,3.5,5.6,0.627,0.627,0.3,1.0,0.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3,DPOY-10,158.0,67.0,67.0,1769.0,17.0,0.61,0.0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,2.4,4.0,6.5,0.176,-0.2,3.2,3.0,2.2,2013-14
224.0,Al-Farouq Aminu,23.0,NOP,SF,80.0,65.0,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,,116.0,80.0,65.0,2045.0,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7,2013-14
225.0,Alan Anderson,31.0,BRK,SF,78.0,26.0,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3.0,0.464,0.487,1.2,1.5,0.78,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,,156.0,78.0,26.0,1773.0,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-1.8,-1.0,-2.8,-0.4,2013-14
226.0,Michael Kidd-Gilchrist,20.0,CHA,SF,62.0,62.0,24.2,2.7,5.7,0.473,0.0,0.1,0.111,2.7,5.5,0.483,0.475,1.8,3.0,0.614,1.8,3.5,5.2,0.8,0.7,0.6,1.0,2.3,7.2,,189.0,62.0,62.0,1502.0,12.0,0.516,0.025,0.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,0.098,-2.9,0.8,-2.1,0.0,2013-14
227.0,Nate Wolters,22.0,MIL,PG,58.0,31.0,22.6,2.9,6.7,0.437,0.3,1.1,0.29,2.6,5.6,0.465,0.46,1.0,1.6,0.656,0.6,2.0,2.6,3.2,0.6,0.3,1.0,1.2,7.2,,218.0,58.0,31.0,1309.0,12.7,0.486,0.159,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,0.9,0.2,1.2,0.043,-0.8,-1.0,-1.8,0.1,2013-14
228.0,Mike Miller,33.0,MEM,SF,82.0,4.0,20.8,2.6,5.4,0.481,1.3,2.8,0.459,1.3,2.6,0.505,0.602,0.6,0.7,0.821,0.4,2.2,2.5,1.6,0.3,0.1,0.9,1.2,7.1,,166.0,82.0,4.0,1707.0,12.5,0.619,0.526,0.126,2.1,12.3,7.2,11.5,0.8,0.2,14.1,14.7,2.6,1.4,3.9,0.111,0.7,-0.3,0.4,1.0,2013-14
229.0,Jason Thompson,27.0,SAC,PF,82.0,61.0,24.5,3.1,6.0,0.506,0.0,0.0,,3.1,6.0,0.506,0.506,1.0,1.8,0.579,1.9,4.6,6.4,0.6,0.4,0.7,1.2,3.1,7.1,,123.0,82.0,61.0,2007.0,11.1,0.523,0.0,0.292,8.5,21.3,14.8,4.1,0.8,2.3,14.5,14.4,0.9,1.7,2.7,0.064,-2.9,-0.4,-3.2,-0.6,2013-14
230.0,Pero Antić,31.0,ATL,C,50.0,26.0,18.5,2.5,5.9,0.418,1.1,3.4,0.327,1.3,2.5,0.545,0.514,1.0,1.3,0.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0,,277.0,50.0,26.0,925.0,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,0.5,0.9,1.4,0.075,-1.6,-0.7,-2.3,-0.1,2013-14
231.0,JaVale McGee,26.0,DEN,C,5.0,5.0,15.8,3.4,7.6,0.447,0.0,0.0,,3.4,7.6,0.447,0.447,0.2,0.2,1.0,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0,,442.0,5.0,5.0,79.0,10.2,0.455,0.0,0.026,13.6,9.6,11.6,4.4,0.6,6.5,17.2,25.0,-0.1,0.1,-0.1,-0.039,-6.3,-0.1,-6.5,-0.1,2013-14
232.0,Steve Blake,33.0,2TM,PG,55.0,28.0,27.2,2.4,6.4,0.377,1.4,3.8,0.376,1.0,2.6,0.378,0.489,0.6,0.8,0.767,0.2,2.7,2.9,5.6,1.0,0.1,1.9,1.5,6.9,,191.0,55.0,28.0,1498.0,11.0,0.508,0.595,0.122,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,0.7,1.1,1.8,0.058,-1.2,0.1,-1.1,0.4,2013-14
232.0,Steve Blake,33.0,LAL,PG,27.0,27.0,33.0,3.3,8.6,0.378,1.9,4.9,0.397,1.3,3.8,0.353,0.489,1.0,1.3,0.8,0.3,3.5,3.8,7.6,1.3,0.1,2.6,1.8,9.5,,191.0,27.0,27.0,891.0,12.1,0.515,0.562,0.15,1.0,11.4,6.2,33.0,1.9,0.2,22.2,15.7,0.4,0.3,0.8,0.041,-0.7,-0.5,-1.2,0.2,2013-14
232.0,Steve Blake,33.0,GSW,PG,28.0,1.0,21.7,1.6,4.3,0.375,1.0,2.8,0.342,0.6,1.5,0.439,0.488,0.2,0.3,0.625,0.2,1.8,2.0,3.6,0.7,0.2,1.1,1.3,4.4,,191.0,28.0,1.0,607.0,9.4,0.494,0.658,0.067,0.9,9.0,5.0,22.7,1.6,0.7,20.1,11.2,0.3,0.7,1.1,0.084,-2.0,0.9,-1.0,0.2,2013-14
